id,text_label,text,label,prediction
13403.json,FALSE,Amendment 1 protects Florida seniors from scams and rip-offs.,0,0
800.json,FALSE,"If Barack Obama would apply for a job with the FBI or with the Secret Service, he would be disqualified because of his past associations with William Ayers.",0,0
2083.json,barely-true,We have more kids take the SAT than any other state in the nation. I mean a high percentage of our kids take the SAT.,0,0
2368.json,barely-true,Walker says hes for lower taxes. But Milwaukee County spending has gone up by $349 million.,0,0
1682.json,FALSE,Says he did not say Republicans would filibuster immigration reform.,0,0
7908.json,mostly-true,"Worldwide credit card transactions, the credit card fraud rate is 0.04 percent, compared to almost 8 percent, 9 percent, 10 percent of Medicare fraud.",1,0
3221.json,TRUE,"In the month of January, Canada created more new jobs than we did.",1,0
9287.json,half-true,"Under his leadership, more people in Wisconsin have access to health care.",1,0
2680.json,barely-true,"Charlie Crist attacks me for positions he held, like, six months ago, (when) he was running in the Republican primary.",0,0
12322.json,half-true,Says Donald Trumps only economic agenda is imposing massive taxes on the American people with a 40 percent tax hike of a giant tariff.,1,0
4795.json,mostly-true,The loan guarantee program that helped Solyndra was a program that was supported by President Bush.,1,0
8156.json,FALSE,Says President Obama just granted all of Congress an exception to Obamacare.,0,0
1831.json,TRUE,"Bill McCollumhas ""recovered $200 million in Medicaid fraud.""",1,0
2211.json,barely-true,"Despite the U.S. spending $10 billion on Iraqs electrical system, Baghdad still only gets five hours of electricity a day.",0,0
6117.json,FALSE,Tim Kaine urged$500 billion in Medicare cuts.,0,0
8913.json,TRUE,"Over 3 million Americans are employed in the growing green-collar workforce, which is more than the number of people working in the fossil fuel industry.",1,0
1433.json,half-true,"Because of the steps we took, there are about 2 million Americans working right now who would otherwise be unemployed.",1,0
4578.json,mostly-true,"Says that In 2009, I saved ratepayers around $500 million by persuading the Council to pursue a less expensive compliance mechanism if the City is required to treat Bull Run drinking water.",1,0
3188.json,mostly-true,"The military has spent $500 million enforcing the Dont Ask, Dont Tell policy regarding gays and lesbians in the military.",1,0
4534.json,TRUE,"Were. . . keeping and creating jobs in our state. From American Greetings, to Wendys, to Diebold, weve gone to their doorsteps to keep jobs right here in Ohio.",1,0
7738.json,FALSE,"Obama for President and Baldwin for Senate have kept their campaign offices up and running in Fox Valley, Eau Claire and La Crosse with their staffs preparing for the next battle.",0,0
3320.json,TRUE,"From 2003 to 2006, Sesame Street made more than $211 million from toy and consumer product sales.",1,0
2755.json,half-true,"(John) Kasich was the architect who balanced the budget, cut spending, created a surplus, igniting record job creation.",1,0
11652.json,FALSE,"The federal government is going after school districts, trying to force them to let boys shower with little girls.",0,0
3418.json,mostly-true,Says that President Obama said in 2008 that his proposed greenhouse gas regulations will bankrupt anyone who wants to build a new coal-fired power plant.,1,0
6568.json,mostly-true,There has been $5 trillion in debt added over the last four years.,1,0
2742.json,half-true,"Says that under Gov. Rick Perry, Texas Department of Public Safety troopers have had standing orders not to inquire into the immigration status of people unless theyre under arrest.",1,0
3603.json,FALSE,"(Dennis) Richardson wants to make drastic cuts to services we depend on: schools, home care for seniors, even public safety -- all so Richardson can keep more than $440 million in unspent funds for his political priorities.",0,0
12838.json,pants-fire,"Nobody covered the remarks of Patricia Smith, the mother of a Benghazi victim, live, but almost everybody covered KhizrKhans, Mr. Khans remarks live.",0,0
8886.json,mostly-true,The cost of the food stamp program is at an all-time high.,1,0
9949.json,half-true,Says opponent Mary Burke says she supports Obamacare unequivocally and wants to expand it.,1,0
4706.json,half-true,Says Essex County residents suffer the second highest property taxes in the nation.,1,0
7792.json,half-true,Ken Lanci is a lifelong Clevelander,1,0
3507.json,barely-true,"Originally, Democrats promised that if you liked your health care plan, you could keep it. One year later we know that you need a waiver to keep your plan.",0,0
11069.json,barely-true,"Says Carlos Lopez-Cantera even voiced enthusiastic support for bringing an Arizona-style immigration law to Florida, calling the measure common sense.",0,0
6605.json,barely-true,"Says that when Democrats controlled Congress and the White House, federal spending as a share of the Gross Domestic Product leapt from 18.2 percent in 2001 to 25.2 percent in 2009 -- the largest such increase in any eight-year period since World War II.",0,0
8891.json,barely-true,"The CBOs latest report confirms what Republicans have been saying for years now. Under Obamacare, millions of hardworking Americans will lose their jobs.",0,0
9585.json,FALSE,The U.S. Supreme Court is five guys who start determining what contraceptions are legal.,0,0
4842.json,half-true,Says Wisconsin Gov. Scott Walker slashed pensions and benefits for public employees.,1,0
5699.json,mostly-true,Adding ethanol to gas raises food costs.,1,0
4855.json,barely-true,Says Mitt Romney once supported President Obamas health care plan but now opposes it.,0,0
10905.json,FALSE,"The USAFreedom Act undercuts privacy becausethe phone records will be in the hands of the phone companies with hundreds of people available to look at the records, versus 20 or 30 people in the government.",0,0
7626.json,barely-true,"The people who were running the budget, in the Corzine years, decided to steal from the unemployment trust fund. As did other Governors before. We simply dont do that, havent done it, and wont permit it.",0,0
12409.json,TRUE,You can import as many hemp products into this country as you want...but we cant grow it.,1,0
9898.json,barely-true,Says Gina Raimondos venture capital firm secured a secret no-bid contract funded by taxpayers.,0,0
10793.json,FALSE,We spend more money on antacids than we do on politics.,0,0
5874.json,mostly-true,Mitt Romney has proposed cutting his own taxes while raising them on 18 million working families.,1,0
4435.json,FALSE,Social Security is a Ponzi scheme.,0,0
5287.json,half-true,Says Pennsylvania charges a top income tax rate of 3 percent and Delaware has no state income tax at all.,1,0
2159.json,TRUE,Jeff Greene can buy anything ... he owns two mansions.,1,0
12400.json,barely-true,Says Elizabeth Warren lied when she says I want to abolish the Federal Minimum Wage.,0,0
193.json,barely-true,"Obama says his health care plan is ""universal.""",0,0
6802.json,barely-true,"Brendan Doherty wants to repeal Obamacare, increasing drug prices for seniors.",0,0
7647.json,barely-true,Abortion coverage is a standard insurance benefit in nearly 90 percent of private plans sold in the U.S.,0,0
11584.json,half-true,"Since we last debated in Las Vegas, nearly 3,000 people have been killed by guns.",1,0
2957.json,barely-true,"Toledo is fourth in the nation behind much bigger cities Miami, Las Vegas, Portland in number of human trafficking arrests and rescues.",0,0
4622.json,mostly-true,94 percent of winning candidates in 2010 had more money than their opponents.,1,0
658.json,barely-true,Barack Obama and Joe Biden oppose new drilling at home and oppose nuclear power.,0,0
4492.json,pants-fire,President Obama went around the world and apologized for America.,0,0
2326.json,half-true,"Says the federal agency in charge of Medicare and Medicaid will disburse $803 billion in benefits this year, making it larger than all but 15 of the worlds economies.",1,0
1617.json,half-true,"Marco Rubio ""supported $800,000 for AstroTurf for a field where he played flag football.""",1,0
8930.json,pants-fire,"The Republican leadership in the House has refused to address the issues that matter the most to Rhode Island, such as passing a jobs bill.",0,0
2842.json,half-true,The dollar has fallen over 44% since Bernanke began pumping money into the system beginning back in 2002.,1,0
12128.json,mostly-true,Congress will begin its recess without having allocated one penny to fight Zika.,1,0
11807.json,FALSE,I am the only candidate on either side who has laid out a specific plan about what I would do to defeat ISIS.,0,0
2426.json,barely-true,The new health care law will cut $500 billion from Medicare. That will hurt the quality of our care.,0,0
5434.json,FALSE,President Obama once said he wants everybody in America to go to college.,0,0
5684.json,barely-true,"Before this law, any group could go out anywhere, register voters, sit on the voter registration forms for unlimited amount of time.",0,0
4313.json,pants-fire,The results of Atlanta Public Schools 2010 and 2011 CRCT tests have not been questioned.,0,0
13481.json,FALSE,Ed Gillespie would not mention (Donald Trumps) name unless he was condemning him.,0,0
10614.json,barely-true,"The delay inschool testingwas not that of a vendor, the problem was not that of the test materials itself,it was the product of a cyber attack.",0,0
8386.json,mostly-true,"Democrats already agreed to a deal that Republicans wanted, that Eric Cantor said would be a win.",1,0
8542.json,FALSE,One of the main functions of the Department of Homeland Securitys SAVE database is checking voter registration citizenship status.,0,0
2169.json,mostly-true,"Eight of the nine justices in the Supreme Court decision (on campaign finance) said that not only is it constitutional for Congress to require disclosure of the special interest money, but they recommend we do it.",1,0
1026.json,TRUE,"The reality is, we are holding some of the most dangerous terrorists in the world right now in our federal prisons, including the mastermind of the 1993 World Trade Center bombing, the 'shoe bomber,' the 'Unabomber,' and many others.",1,0
4693.json,pants-fire,Barack Obama is the First President to terminate Americas ability to put a man in space.,0,0
7215.json,FALSE,Says George Washington said a free people should be armed to guard against government tyranny.,0,0
1082.json,half-true,"Under the new and little known 'global justice' initiative, the Obama administration has ordered FBI agents to ""read Miranda Rights to high-value terrorist detainees captured on the battlefield.""",1,0
10702.json,mostly-true,Wholly domestic communication between you and your wife can go to New York to London and back and get caught up in the (NSA) database.,1,0
4702.json,TRUE,"Says for every dollar the state spent on audits last year, it delivered $64 in cost savings.",1,0
6266.json,half-true,"When I was governor, not only did test scores improve we also narrowed the achievement gap.",1,0
8036.json,half-true,Georgia is nearly 50 percent Democratic and (the Republican majority) diminished our voting strength to 32 percent through gerrymandered maps.,1,0
6470.json,TRUE,Says a Republican hasnt won [an election] for a presidency in New Jersey since 1988.,1,0
9252.json,half-true,"40 percent of illegal immigrants had a visa and then became illegal, mostly because they changed jobs.",1,0
5456.json,half-true,Says Ted Cruz slurred Republican senators including John Cornyn as graybeards and spineless jellyfish.,1,0
9965.json,pants-fire,Says Mary Landrieu voted to fund benefits for illegal immigrants ahead of veterans.,0,0
7713.json,TRUE,"Despite having their budget increased by over 40 percent since 2009 pending claims for benefits with the (Department of Veterans Affairs) have increased from 391,000 to 890,000 under the Obama Administration.",1,0
8827.json,FALSE,"U.S. Rep. John Barrow, D-Ga., does not want to audit the Federal Reserve.",0,0
12131.json,FALSE,This unit is the only one in the state that strives to implement the principles of Mother-Friendly care as outlined by the national Coalition for Improving Maternity Services Mother-Friendly Childbirth Initiative.,0,0
6737.json,mostly-true,I am going to be on the ballot in all 50 states. There is no other third-party candidate thats going to come close to achieving that.,1,0
10373.json,TRUE,"After World War II, we tried, convicted, and, in some cases, executed Japanese soldiers for war crimes that included charges of waterboarding.",1,0
5883.json,FALSE,Says Gov. Scott Walker approved a gutting of two tax credits that help the poor and elderly.,0,0
2123.json,mostly-true,Ken Bucks (District Attorneys) office? His spending skyrocketed by 40 percent.,1,0
13364.json,FALSE,"The photonics bill that was sponsored in Congress and written, was written by Congressman Tom Reed, not Congresswoman Louise Slaughter.",0,0
655.json,TRUE,"McCain ""said he was 'stumped' when asked whether contraceptives help stop the spread of HIV.""",1,0
6574.json,FALSE,Says most Texas schools spend 45 out of 180 school days in mandated testing.,0,0
11871.json,barely-true,Tell me what Madeleine Albrights position was on the War on Iraq. I wouldnt be surprised if she supported it.,0,0
978.json,half-true,On the propriety of budget reconciliation.,1,0
9329.json,FALSE,We were the last flag flying in Benghazi.,0,0
3473.json,mostly-true,Says legislation pending in the House would effectively limit or eliminate time-and-a-half for people who work overtime.,1,0
11869.json,barely-true,The American people will not support doing anything about people that are in this country illegally until the law is enforced first.,0,0
3309.json,TRUE,The cost for renovating the headquarters of the U.N. has doubled from the original estimate.,1,0
6381.json,mostly-true,"Mitt Romney is proposing a tax plan that would give millionaires another tax break and raises taxes on middle class families by up to $2,000 a year.",1,0
1488.json,TRUE,There have been three people tried and convicted by the last administration in military courts. Two are walking the street right now.,1,0
6405.json,pants-fire,Medicare insurance premiums will be rising to $120.20 per month in 2013 and $247.00 per month in 2014.,0,0
9127.json,half-true,The NCAA will get billions from the mens basketball tournament. Players get a trophy.,1,0
3927.json,TRUE,The budget currently being debated significantly decreases the use of one-time resources.,1,0
3379.json,pants-fire,Damage by protesters to the Wisconsin state Capitol will cost $7.5 million to repair.,0,0
8895.json,mostly-true,Americans work way more than an average of industrialized countries around the world.,1,0
13322.json,TRUE,"Says Ted Strickland in this campaign bragged about his A-plus rating with the NRA. ... He has said he has a mixed and spotty record on this issue and that he can be criticized for it. Those are his words, not mine. So I dont know where he is on this issue.",1,0
7714.json,TRUE,Says new Medicare billing guidelines have nine codes for (injuries by) turkeys.,1,0
11773.json,FALSE,Says Virginia Del. Mark Cole wants schools to check childrens genitals before using bathroom.,0,0
7913.json,FALSE,A monthly police and fire protection fee on all Wisconsin phone bills does nothing to support police and fire.,0,0
11167.json,FALSE,Illegal immigration wasnt a subject that was on anybodys mind until I brought it up at my announcement.,0,0
99.json,TRUE,One man opposed a flawed strategy in Iraq. One man had the courage to call for change. One man didn't play politics with the truth.,1,0
1701.json,TRUE,I never had a filibuster-proof Senate.,1,0
9210.json,barely-true,Pregnant women who stand for five to six hours at a time increase their risk of pre-term pregnancy by 80 percent.,0,0
7503.json,mostly-true,"Says 100,000 are on waiting list to attend Texas charter schools.",1,0
9008.json,half-true,The new Ukrainian government introduced a law abolishing the use of languages other than Ukrainian in official circumstances.,1,0
8246.json,barely-true,Chemical weapons have been used probably 20 times since the Persian Gulf War.,0,0
7954.json,barely-true,"The Senate immigration bill has immediate legalization ... and the border security is sometime in the future, and just like in 1986, its designed never to come into being.",0,0
13368.json,half-true,Nearly half of African-American children under the age of 6 are living in abject poverty.,1,0
5266.json,pants-fire,Eric Holder is supportive of the NAACPs efforts to get the United Nations involved in our elections.,0,0
3293.json,barely-true,"In Wisconsin, teachers make $89,000 in salary and benefits, compared to $48,000 for all other workers in the United States.",0,0
12115.json,half-true,"During the last five years, Iran has perpetrated terror attacks in 25 different countries on five continents.",1,0
9549.json,half-true,"President Obama has left the U.S. with the lowest number of active-duty troops since before World War II, putting the nation at risk.",1,0
10658.json,FALSE,Say Michelle Obama mandates weighing children in day care.,0,0
2855.json,FALSE,On high-speed rail.,0,0
2974.json,TRUE,Every student paying out-of-state tuition actually covers more than the cost of instruction.,1,0
8120.json,half-true,The Georgia Department of Education has implemented a new policy beginning in August that states that public schools will no longer accept credits from home school entities or non-traditional education centers.,1,0
13375.json,barely-true,"Says its not possible for some Wisconsin residents to watch Packers games, theyre forced to watch Viking games, so he got a law passed to fix the problem.",0,0
11260.json,pants-fire,"Democratic Sens. Ed Markey, Al Franken and Jeanne Shaheen took Bribes From Iran They Back Insane NUKE Deal.",0,0
9722.json,pants-fire,President Barack Obamas latest executive order mandates the apprehension and detention of Americans who merely show signs of respiratory illness.,0,0
4599.json,half-true,The Milwaukee County sheriffs department plays only a limited role as a traditional law enforcement agency and in 2009 reported far fewer crimes to the FBI than the University of Wisconsin-Milwaukee police did.,1,0
11134.json,FALSE,Obama Makes Huge Move to BAN Social Security Recipients From Owning Guns,0,0
6843.json,pants-fire,I never supported a state income tax for Texas.,0,0
11366.json,mostly-true,"Unlike virtually every other campaign, we dont have a super PAC.",1,0
13080.json,mostly-true,"Within just a few years, immigration as a share of national population is set to break all historical records.",1,0
10135.json,half-true,"Ed Gillespies firm even lobbied for five foreign governments, including a dictator now awaiting trial for war crimes.",1,0
10334.json,mostly-true,"We have a system now where in 40 states, the highest-paid public employee is the state universitys head football or basketball coach.",1,0
2182.json,half-true,"Because of violence spreading from Mexico, youve got bullets hitting the city hall in El Paso. Youve got bombs exploding in El Paso.",1,0
6100.json,FALSE,Decriminalizing marijuana will save the state anywhere from $4 (million) to $11 million dollars.,0,0
12975.json,TRUE,Says there are concrete examples of University of Texas job applicants or prospective applicants and students as well as invited speakers changing their minds because of handguns being allowed in campus buildings and classrooms.,1,0
3751.json,FALSE,The Massachusetts health care plan is wildly unpopular among state residents.,0,0
7918.json,barely-true,The IRS scandal clearly showed some criminal behavior.,0,0
10034.json,TRUE,TSA WILL ACCEPT DRIVERS PRIV CARDS FOR ID AT THE AIRPORT,1,0
11126.json,mostly-true,"Forty percent of people in this country, illegally, are overstaying visas.",1,0
2531.json,half-true,Says Lee Fisher wanted a $1.1 billion tax increase which could have driven countless jobs out of state.,1,0
1165.json,barely-true,Scientists project that the Arctic will be ice-free in the summer of 2013.,0,0
4759.json,TRUE,Ilana Shafran Mandels stake in Forest City Enterprises constitutes significantly less than 1 percent of the companys shares and any implication of a conflict of interest is legally incorrect.,1,0
1285.json,FALSE,"When White House communications director Anita Dunn said that Mao Tse-tung was one of her favorite philosophers, only Fox News picked that up.",0,0
7740.json,FALSE,Says only about 250 Texans have been killed in action since 9/11.,0,0
7510.json,FALSE,Super Bowl L by everybodys estimation is a $500 million economic impact to the state of Florida.,0,0
11124.json,pants-fire,"The number of illegal immigrants in the United States is 30 million, it could be 34 million.",0,0
10436.json,pants-fire,You cannot build a little guy up by tearing a big guy down -- Abraham Lincoln said it.,0,0
2901.json,FALSE,"Last year, Beaverton School District had the highest number of homeless students ever recorded in Oregon.",0,0
9934.json,TRUE,The state budget has increased almost $800 million a year in each of the last two years.,1,0
5672.json,mostly-true,"In the past 10 years, our (Austin) water rates have increased by 100 percent and we now have the highest water cost of the top 10 cities in Texas.",1,0
7276.json,TRUE,"Says in this next biennium, the cost of primary and secondary education is going to increase by more that $1000 per student. Half of that $1000 $500 per student is accounted for by the increased cost of PERS alone.",1,0
12977.json,mostly-true,Says Hillary Clinton is the one that labeled African-American youth as superpredators.,1,0
8500.json,barely-true,"The insurance companies are making that choice (to cancel or change policies), not the president.",0,0
1129.json,FALSE,"Ezekiel Emanuel, one of President Obama's key health care advisers, says medical care should be reserved for the nondisabled. So watch out if you're disabled.",0,0
2997.json,FALSE,On whether state employees should contribute to their pensions.,0,0
11175.json,FALSE,Ukraine was a nuclear-armed state. They gave away their nuclear arms with the understanding that we would protect them.,0,0
4931.json,pants-fire,"Says Mitt Romney, as governor of Massachusetts, put into place socialized medicine.",0,0
10721.json,half-true,The same federal government that offers some money for a program is walking away from another health care program.,1,0
6448.json,FALSE,I didnt try to push a bill to reduce lottery scholarship proceeds for students.,0,0
10976.json,mostly-true,The Confederate battle flag in South Carolina was first flown at the statehouse in 1961.It was flown as a symbol of massive resistance to racial desegregation.,1,0
1572.json,FALSE,"Several times, Obama has apologized for what he deems to be American arrogance, dismissiveness, and derision; for dictating solutions, for acting unilaterally ... .",0,0
989.json,barely-true,Some even advocate wiping out 401(k)s entirely and replacing them with government-run accounts.,0,0
11678.json,barely-true,"In 2000, I wrote about Osama bin Laden, Weve got to take him out.",0,0
6342.json,TRUE,I ended up my time as governor with a general fund budget that was smaller than the one I started with.,1,0
8877.json,pants-fire,A friends sister died from Obamacare becauseBlue Shield completely just pulled out of California.,0,0
7234.json,barely-true,Obamacare includes a $63 charge every American will begin paying (in 2013) as a way to cover some of the increased costs associated with providing health insurance to those with pre-existing conditions.,0,0
6029.json,half-true,"Forty years ago ... about half of congressional districts were genuinely competitive. Today, only about 10 percent of House races on Cook Political Report are listed as toss-ups or lean to one party.",1,0
4803.json,TRUE,"When the national debt reaches $15 trillion, it means that U.S. debt-to-GDP ratio will reach 99.7 percent of our debt and this is $47,900 for every living American.",1,0
11526.json,TRUE,Most Americans are ready to put it [marijuana prohibition] behind us and move on.,1,0
5654.json,pants-fire,Obama tells Russia that hell turn over Americas defense system to them if re-elected.,0,0
11121.json,mostly-true,The National Technical Information Service spends millions of taxpayer dollars to print and sell government documents that are available free in online searches.,1,0
7037.json,half-true,Says Bill Young voted twice for the Ryan budget that ends the current Medicare system.,1,0
2359.json,FALSE,I kicked crooked cops and government officials off the public pension rolls.,0,0
328.json,barely-true,"Romney left Massachusetts ""with a $245-million debt because of the big government-mandated health care system.""",0,0
6891.json,FALSE,Repealing and replacing Obamacare thats going to save $1 trillion over a 10-year period.,0,0
10708.json,FALSE,The Georgia Legislatures last day of session ends at midnight.,0,0
7360.json,barely-true,"The brutal fact is, when it comes to education, America is slipping behind other nations.",0,0
8867.json,barely-true,I always supported civil unions.,0,0
3883.json,pants-fire,"Because Gov. Chris Christie vetoed a 30-bill job creation package, New Jersey ranks 50th in the nation in job creation.",0,0
9145.json,FALSE,A poll taken a few months ago found 70 percent approval or higher for the Act 10 collective bargaining law.,0,0
6098.json,pants-fire,Sherrod Brown gave huge bonuses to executives.,0,0
2688.json,FALSE,Unfortunately everyone needs to cut back in these tough economic times. Thats why I voted to cut my own pay along with the pay of our state employees.,0,0
11797.json,mostly-true,"Says Donald Trump thinks that climate change is a hoax, invented by the Chinese.",1,0
12438.json,mostly-true,Polls show Bernie Sanders would do better than Hillary Clinton in a head-to-head battle against Donald Trump.,1,0
3746.json,barely-true,Increasing the bottle deposit to 10 cents on a case of water bottles could literally double the price of that product in the store.,0,0
12722.json,mostly-true,"What difference, at this point, does it make? I am the guy that got under her skin and provoked that infamous response from Hillary Clinton by asking a pretty simple question, Why didnt you just pick up the phone and call the survivors (of the Benghazi attack)?",1,0
9763.json,mostly-true,Kasim Reed has kept every promise he made as a candidate.,1,0
7392.json,barely-true,Wisconsins laws ranked the worst in the world for mining investment.,0,0
12633.json,TRUE,More people now die in Wisconsin from drug overdoses than car crashes.,1,0
5135.json,half-true,"In Connecticut and New York, students at Achievement First schools consistently outperform city and statewide averages.",1,0
2507.json,barely-true,"Rick Scotts prison plan would cut Floridas prison budget in half, close prisons, and release tens of thousands of prisoners early -- murderers, rapists, sex offenders, armed robbers, drug dealers.",0,0
712.json,pants-fire,"Obama's one education accomplishment was ""legislation to teach 'comprehensive sex education' to kindergartners.""",0,0
1286.json,FALSE,"Forcing Americans off of their current health coverage and onto a government-run plan isn't the answer, but that's exactly what the Democrats' plan would do.",0,0
455.json,FALSE,"During the Monica Lewinsky scandal, the Clintons brought the Rev. Jeremiah Wright to the White House for ""spiritual counseling.""",0,0
8504.json,half-true,Only 14 percent of Americans were able to keep these individual market plans for two years before Obamacare became law.,1,0
12516.json,pants-fire,"Never mind that no red light camera, no speed camera, nor any radar gun has ever stopped one accident from occurring.",0,0
11017.json,TRUE,"Only five states, including Georgia, do not have a hate crimes law.",1,0
6074.json,mostly-true,Marcy Kaptur voted against a ban which would have prevented the aborting of a baby girl for the sole reason that shes a girl.,1,0
6662.json,FALSE,The Health Care Compact bill would end Medicares guaranteed benefit for Tennessees Medicare recipients and shift management of the federal health care plan to the states TennCare program.,0,0
27.json,half-true,"Barack Obama supported keeping troops in Iraq, but now he wants a ""precipitous withdrawal"" regardless of ""conditions on the ground"" or ""consequences of a defeat for the United States,"" an RNC radio ad.",1,0
6095.json,half-true,"When Mitt Romney was governor, Massachusetts lost 40,000 manufacturing jobs, a rate twice the national average, and fell to 47th in job creation, fourth from the bottom.",1,0
7094.json,TRUE,Barack Obama is only the second Democrat in the last 75 years to win Ohio twice with more than 50 percent of the vote.,1,0
11708.json,FALSE,ISIS is going to people showing videos of Donald Trump insulting Islam and Muslims in order to recruit more radical jihadists.,0,0
627.json,TRUE,"The musical Mamma Mia! has ""been selling out for years.""",1,0
650.json,mostly-true,"The Bush administration's latest plans for troop withdrawal from Iraq by 2011 are ""more or less the same time frame I announced two years ago.""",1,0
4535.json,half-true,Chris Christie has not been effective at creating jobs (or have) a record of governing for effectiveness. ... New Jersey (has) one of the higher unemployment rates in the country at 9.4 percent.,1,0
6758.json,mostly-true,Barack Obama refuses to acknowledge Jerusalem as the capital of Israel.,1,0
9584.json,half-true,I created the school choice program.,1,0
7532.json,barely-true,Nearly 25 percent of all automobile accidents are caused by texting while driving.,0,0
105.json,barely-true,"The reality is, with a $2 trillion-a-year health care budget, we're spending more on health care, nearly 17 percent of our gross domestic product, versus 3.8 percent of GDP on the entire military budget.",0,0
11439.json,pants-fire,Bernie Sanders admits he is a Democratic Socialist. Nazis were Democratic Socialists.,0,0
10024.json,barely-true,We have four combat-ready brigades out of 40 in the U.S. Army.,0,0
5650.json,barely-true,"Every time the weight of that vehicle is reduced by a hundred pounds, your chances of dying are going to go up by about 5 percent. Peel three hundred pounds off youre 15 percent more likely to die in that car.",0,0
2613.json,mostly-true,Says hesso bipartisan that 12 of my bills were signed into law by Democratic President Bill Clinton.,1,0
7385.json,mostly-true,I still live in the same working-class neighborhood I grew up in.,1,0
2002.json,barely-true,"Im running against a groundhog. He saw his shadow on the primary day, and no one has seen him since.",0,0
12582.json,mostly-true,"Says British voters under 50, especially millennials, overwhelmingly voted to stay, in the European Union. It was older voters who voted to leave.",1,0
10486.json,pants-fire,Fundamental changes made to the language describing the Wisconsin Idea in the University of Wisconsin Systems mission statement were the result of a drafting error.,0,0
3222.json,barely-true,Financed the largest parking expansion program without a rate increase.,0,0
12254.json,FALSE,"Says Jeb Bush and Marco Rubio had it set so that the winner takes everything, because they wanted to make sure that I didnt get anything in the Florida primary.",0,0
10228.json,barely-true,4.7 million people have lost their insurance in 32 states due to Obamacare.,0,0
8226.json,mostly-true,The average family premium has increased by 29% under Obama!,1,0
6826.json,half-true,"On Medicare for current retirees, hes cutting $716 billion from the program.",1,0
8163.json,mostly-true,Sen. Marco Rubio refuses to accept the basic science on climate change and is a climate change denier.,1,0
2924.json,FALSE,There are 10 or 20 deaths a year from foodborne illness in the United States.,0,0
6747.json,half-true,"Says when Republicans took over the state legislature in 2010, New Hampshires tax rate for employers was 50th in the nation, and unemployment had more than doubled under Democrats.",1,0
2773.json,barely-true,About 1 in 10 public school teachers in Wisconsin would have been laid off without federal stimulus funds.,0,0
